,artist_name,track_name,genre,lyrics,release_date
87,the platters,why should i,pop,time tell goodbye believe kiss wonder kiss care hold spell fool dear tell know goodbye know pretend love hold spell fool dear tell know goodbye know pretend love,1956
88,johnny mathis,in other words (fly me to the moon),pop,moon play star spring like jupiter mar word hold hand word darling kiss life song sing forevermore worship word true word,1956
89,lavern baker,i'll never be free,pop,time hold arm grow cold ache place darling embrace free lips burn desire kiss put satisfy long free smile tender sweet surrender eye free remember thrill sigh like chain bind heart remain apart kiss give slave free,1956
90,the platters,remember when,pop,remember dahdootdoodoo dahdootdoodoo lips afraid remember dahdootdoodoo surprise dahdootdoodoo heaven heart leap eye remember cry dumb think darling deep inside feel feel divine love dahdootdoodoo dahdootdoodoo remember remember cry dumb think darling deep inside feel feel divine love remember,1956
91,the clovers,love love love,pop,clovers peak july diamonds peked july nothin world girl nothin world girl thing thinkin feelin blue nothin world girl nothin world girl thing thinkin pick pick feel lowdown feel lowdown smile wearin frown want need loove loove loove loove loove loove loove loove loove drink till head go round round loove loove loove come turtle annotate submit sanchez,1956
92,johnny mathis,it might as well be spring,pop,restless windstorm jumpy puppet string spring fever know spring starry eye vaguely discontent like nightingale song sing spring fever spring wish walk strange street hear word hear girl meet busy spider spin daydream giddy baby swing see crocus rosebud wing feel melancholy spring spring wish walk strange street hear word hear girl meet busy spider spin daydream giddy baby swing see crocus rosebud wing feel melancholy spring spring,1956
93,the platters,at your beck and call,pop,forever fate obey slave want question demand life command want matter away distance mean go year offer throne heart soul matter away distance mean cause go year offer throne heart soul baby,1956
94,the platters,september in the rain,pop,leave come tumblin remember september rain go like die ember september rain word hear whisper raindrops play sweet refrain spring september september rain word hear whisper raindrops play sweet refrain spring september september rain september rain,1956
95,the platters,i give you my word,pop,word word romance give lips heart soul heart break word heaven hear darling good life change word word heaven hear darling good life change word word word word,1956
96,jerry vale,more,pop,innamorata innamorata lips meet innamorata kiss kiss sweet innamorata hold close warm wine heaven door innamorata want innamorata symphony beautiful sonata innamorata sweetheart lips meet innamorata kiss kiss sweet innamorata hold close warm wine heaven door innamorata want innamorata symphony beautiful sonata innamorata sweetheart innamorata innamorata,1956
97,jerry vale,summertime in venice,pop,dream summertime venice summertime cafes sunlit days antique shop stop souvenir bridge boat blue dream winter long violins play song dream real feel lips know ocean apart venice summertime deep heart,1956
98,the clovers,here goes a fool,pop,world cold blood trap niggas show hoe backpack niggas afroes holla nigga budget try braid nope talk cornrows try grade look score play jigga hit good delivery bitch digiornos fuck real shit feel shit go realer shit sign deal go dealership take look credit say forget train shit change feel pain like build game like pimp caine little drug dealer reference niggas lie flashbacks teacher tell look nigga crazy look wing flier bird cosigner beamer whiter burbs like genius nerd tutor bitch admire curve noun verb try hide skirt come fuck hymnhim like choir church good momma tell good doctor lawyer black employ nigga affirmative action master tax cover fool bitch freshman class write pass hear shots fire yeah stone cast shit niggas hear album sound like classic niggas album plastic bastard gonna match nigga master shit practice catch ville nigga casket city like favorite jacket gonna wear damn night know pay shit bitch damn right,1956
99,t. m. soundararajan,chinna kelbyaadve nanna ppuraana,pop,lullaby birdland hear sigh wordland word reveal phrase feel hear turtle doves kind magic music lips kiss weepy know pillow tell farewell goodbye lullaby birdland whisper kiss sweet fly high birdland high lullaby lullaby hear turtle doves kind magic music lips kiss weepy know pillow tell farewell goodbye lullaby birdland whisper kiss sweet fly high birdland high,1956
